name,category,google_rating,review_count,price_level,is_local_favorite,may_suitability,latitude,longitude,final_score
The Museum of Interesting Things Secret Speakeasy,Tourist attraction,4.5,23,1,False,0,40.726448999999995,-74.001798,46.0
Flea Market,Flea market,4,90,1,False,5,40.7307215,-73.98194269999999,45.0
Door to Nowhere,Tourist attraction,4.4,61,1,False,0,40.7556389,-73.9863542,44.8
Embriago Coffee,Coffee shop,4.9,404,5,True,0,40.7212926,-73.99295049999999,43.8
Bushwick Market,Flea market,3.9,154,1,False,5,40.7055015,-73.9213104,43.8
Ludlow Flea,Flea market,3.9,35,1,False,5,40.721047999999996,-73.9880419,43.8
The Walkers Espresso,Coffee shop,4.8,217,5,True,0,40.7376244,-74.00014039999999,42.6
Spyglass Rooftop Bar,Bar,4.3,867,3,False,0,40.7519694,-73.9848404,42.6
Brewlita,Coffee shop,4.7,360,5,True,0,40.7225831,-73.9962714,41.4
Jubilee Flea Market,Flea market,3.7,3,1,False,5,40.620937399999995,-73.9177066,41.4
Lost in Paradise Rooftop,Cocktail bar,4.7,6544,2,False,0,40.752076699999996,-73.94732119999999,40.4
Le Cafe Coffee,Coffee shop,4.6,229,5,True,0,40.765291,-73.9767121,40.2
Afficionado Coffee Roasters,Coffee shop,4.6,464,5,True,0,40.7676039,-73.9931737,40.2
Monarch Rooftop,Bar,4.1,2535,3,False,0,40.7503922,-73.9868091,40.2
St. Anthony's Market,Vintage clothing store,4,4,1,False,0,40.727747799999996,-74.0018494,40.0
ECHOES,Tourist attraction,4,5,1,False,0,40.7529665,-73.9854781,40.0
McGraw-Hill Waterfall,Tourist attraction,4,126,1,False,0,40.7595963,-73.9829756,40.0
230 Fifth Rooftop Bar,Bar,4.3,24788,2,False,0,40.7441081,-73.9888201,35.6
Mille-Feuille Bakery,Bakery,4.8,1412,6,True,0,40.729155399999996,-73.9982843,34.6
Bill's Place,Jazz club,4.8,388,6,True,0,40.813374499999995,-73.94364329999999,34.6
Nolita Flea Market,Flea market,3.1,23,1,False,5,40.723267,-73.99528029999999,34.2
La Cabra Bakery,Coffee shop,4.7,1514,6,True,0,40.729445899999995,-73.9868353,33.4
Terra Blues,Blues club,4.7,1428,6,True,0,40.728425,-73.99925,33.4
Madame George,Cocktail bar,4.7,522,6,True,0,40.756338299999996,-73.98114269999999,33.4
Bo Peep Cocktail and Highball Store,Cocktail bar,4.7,451,6,True,0,40.7506112,-73.9862911,33.4
"Drip Drop Café, coffee shop",Coffee shop,4.7,770,6,True,0,40.7254115,-74.002083,33.4
Hide Rooftop,Cocktail bar,4.7,213,6,True,0,40.7095847,-74.0087404,33.4
Ornithology Jazz Club,Jazz club,4.7,805,6,True,0,40.695588799999996,-73.9319823,33.4
Super Nice Coffee and Bakery,Coffee shop,4.6,374,6,True,0,40.8015048,-73.96451119999999,32.2
Pavé,Coffee shop,4.6,486,6,True,0,40.756344,-73.98033699999999,32.2
Mezzrow,Jazz club,4.6,1333,6,True,0,40.7346,-74.001924,32.2
MK Ultra Coffee & Baked Goods,Coffee shop,5,91,5,True,0,40.747258699999996,-73.9892883,30.0
Refinery Rooftop,American restaurant,4.5,4222,3,False,0,40.7526164,-73.9852828,30.0
Smoke Jazz & Supper Club,Jazz club,4.5,1396,5,False,0,40.801110099999995,-73.9682369,29.0
Daddy Rabbit,Jazz club,4.8,71,5,True,0,40.742619999999995,-74.0000524,27.6
Winnie's Jazz Club,Jazz club,4.7,584,7,True,0,40.7521833,-73.9853073,25.4
The Ivy Coffee & Tea & Bakery,Coffee shop,4.6,189,5,True,0,40.7302604,-74.00313469999999,25.2
Dizzy's Club,Jazz club,4.6,1286,7,True,0,40.7685594,-73.9830762,24.2
Librae Bakery,Bakery,4.5,1230,6,False,0,40.728118599999995,-73.99075239999999,21.0
Tomi Jazz,Jazz club,4.5,2145,6,False,0,40.757174899999995,-73.9678057,21.0
No Work Allowed,Jazz club,4.5,362,6,False,0,40.7572785,-73.9679736,21.0
La Cabra,Coffee shop,4.5,957,6,False,0,40.724309999999996,-73.9962,21.0
Cafe D’Avignon,Bakery,4.5,380,6,False,0,40.7522263,-73.9893009,21.0
Close Up,Bar,4.9,152,6,True,0,40.7207559,-73.988492,20.8
"ART SoHo - Soho Rooftop Bars, NYC (Arlo Soho)",Bar,4.4,715,6,False,0,40.7244354,-74.00806899999999,19.8
The Skylark - Rooftop Bar,Cocktail bar,4.4,2027,6,False,0,40.754188899999995,-73.9888567,19.8
Highwater Rooftop,Bar,4.4,306,6,False,0,40.705498,-74.007364,19.8
Top of the Strand Rooftop Bar,Bar,4.3,715,6,False,0,40.751248,-73.984873,18.6
Cellar Dog,Bar,4.3,660,6,False,0,40.7336448,-74.0032027,18.6
Down Under Coffee,Coffee shop,4.7,64,6,True,0,40.767054,-73.98297649999999,18.4
Red Beard Coffee & Bakery,Coffee shop,4.6,134,6,True,0,40.729756099999996,-73.9834317,17.2
Bar Next Door at La Lanterna di Vittorio,Cocktail bar,4.6,127,6,True,0,40.7306866,-74.0000953,17.2
Rooftop Bars NYC,Bar,4.6,163,6,True,0,40.7442419,-73.9886085,17.2
Haven Rooftop,Bar,4,2891,6,False,0,40.7584867,-73.983223,15.0
The Jazz Club at Aman New York,Jazz club,4.3,192,5,False,0,40.7627916,-73.9750732,11.6
Birdland Jazz Club,Jazz club,4.7,4883,7,True,0,40.759088899999995,-73.9897175,10.4
Bibble & Sip,Bakery,4.5,3617,6,False,0,40.7628415,-73.9851781,6.0
ROOM 623 - HARLEM'S SPEAKEASY JAZZ CLUB,Jazz club,4.5,196,6,False,0,40.806201,-73.95322589999999,6.0
Blu33 NYC Rooftop Bar,Cocktail bar,4.4,132,6,False,0,40.752192799999996,-73.9950922,4.8
